gene_name,Ctrl1,Ctrl2,Ctrl3,siLTBR1,siLTBR2,siLTBR3
0610005C13Rik,17,5,6,9,16,30
0610009B22Rik,596,501,550,638,630,682
0610009E02Rik,34,27,15,11,6,26
0610009L18Rik,7,9,21,0,8,0
0610010F05Rik,1478,1599,1715,1652,1364,1559
0610010K14Rik,562,569,396,320,642,593
0610012G03Rik,1373,1473,1451,1532,1282,1766
0610030E20Rik,2431,2419,2474,2378,2510,2518
0610038B21Rik,429,440,396,336,417,385
0610039K10Rik,10,7,15,9,25,12
0610040B10Rik,9,23,11,34,21,9
0610040F04Rik,16,5,9,0,5,20
0610040J01Rik,0,0,4,0,4,0
1010001B22Rik,0,11,0,0,0,8
1100001I12Rik,6,6,0,0,9,0
1110002E22Rik,6,17,20,20,10,12
1110002J07Rik,228,232,253,256,307,306
1110002L01Rik,1624,2120,2262,1665,2113,2076
1110003F10Rik,16,14,16,13,24,10
1110004F10Rik,7211,7763,7574,7404,7584,8310
1110006O24Rik,56,69,86,59,52,77
1110008P14Rik,537,484,547,592,622,665
1110012L19Rik,487,566,455,532,628,620
1110013H19Rik,24,21,14,20,10,11
1110017D15Rik,9,0,0,0,0,0
1110019D14Rik,232,243,233,242,287,326
1110020A21Rik,10,28,14,14,15,23
1110025M09Rik,22,27,15,64,24,29
1110032A03Rik,317,308,321,308,493,327
1110032F04Rik,4,0,0,0,0,0
1110035H17Rik,29,15,29,34,21,16
1110038B12Rik,2626,2325,1896,2494,2506,2855
1110038F14Rik,730,789,668,698,735,828
1110046J04Rik,132,101,136,135,106,140
1110051M20Rik,1380,1276,1341,1327,1333,1226
1110059E24Rik,2160,2414,2153,2418,2282,2676
1110059G10Rik,568,440,434,540,528,684
1110060G06Rik,0,0,0,0,0,0
1110065P20Rik,258,343,200,228,345,373
1190001M18Rik,9,13,5,4,12,18
1190005I06Rik,11,54,29,9,34,27
1190007I07Rik,402,375,286,322,387,368
1200007C13Rik,0,0,0,0,0,0
1300002E11Rik,134,126,114,137,123,126
1300014J16Rik,23,18,36,18,41,33
1300017J02Rik,0,0,0,0,0,0
1500002C15Rik,143,167,147,168,260,123
1500002F19Rik,14,2,6,2,16,12
1500004A13Rik,907,985,1218,1063,1024,957
1500005C15Rik,8,32,27,10,6,23
1500009L16Rik,4,0,0,0,0,0
1500011B03Rik,1197,1274,1017,1209,1258,1328
1500015A07Rik,725,752,672,597,630,873
1500026H17Rik,14,5,0,14,9,12
1500032F14Rik,12,0,0,0,0,8
1520401A03Rik,0,10,6,0,0,0
1600002D24Rik,0,0,0,7,4,0
1600010M07Rik,42,52,28,75,54,48
1600012H06Rik,947,1047,1032,1113,1178,1067
1600014C10Rik,1253,1376,1357,1405,1277,1464
1600014C23Rik,15,16,21,4,21,8
1600020E01Rik,144,109,119,141,128,171
1600022D10Rik,0,4,0,0,24,0
1600023N17Rik,24,16,4,23,0,35
1700001G11Rik,42,37,35,55,9,44
1700001G17Rik,9,22,5,8,0,0
1700001J03Rik,0,0,0,4,9,7
1700001K19Rik,0,0,0,7,4,0
1700001K23Rik,45,59,46,29,40,32
1700001L05Rik,54,23,23,35,20,37
1700001L19Rik,0,0,0,0,0,0
1700001O22Rik,10,12,4,8,11,6
1700001P01Rik,0,0,0,0,0,0
1700003E16Rik,46,55,34,57,44,74
1700003F12Rik,0,0,3,4,6,0
1700003G18Rik,0,0,8,0,2,0
1700003I16Rik,8,0,0,2,0,0
1700003N22Rik,2,6,2,9,7,6
1700006J14Rik,20,15,6,17,18,0
1700007J10Rik,27,14,19,12,22,17
1700007L15Rik,37,32,51,67,61,60
1700007P06Rik,0,0,0,0,0,0
1700008A23Rik,0,0,0,0,3,0
1700008B11Rik,17,1,0,21,2,11
1700008J07Rik,103,150,136,70,142,72
1700008O03Rik,6,10,0,0,6,0
1700009N14Rik,0,0,0,0,0,0
1700010B13Rik,5,3,0,0,0,0
1700010I14Rik,222,175,257,155,173,197
1700010K24Rik,7,8,7,8,10,10
1700011L03Rik,4,4,0,0,0,0
1700011L22Rik,4,0,10,10,8,8
1700012B07Rik,0,0,0,0,0,0
1700012D14Rik,105,102,110,57,78,81
1700013F07Rik,7,15,11,0,0,0
1700013M08Rik,0,3,0,4,0,1
1700014D04Rik,20,18,19,2,20,21
1700015C15Rik,5,0,7,5,0,10
1700015I17Rik,0,12,0,0,4,4
1700016A09Rik,14,0,5,8,28,11
1700016B15Rik,4,3,0,11,0,0
1700016C15Rik,0,0,0,0,7,0
1700016D08Rik,0,0,0,0,0,0
1700016P03Rik,0,0,0,2,0,0
1700017B05Rik,8965,10883,10710,10088,11008,11226
1700017G19Rik,16,32,30,22,17,25
1700017M07Rik,0,0,0,0,4,0
1700018A23Rik,0,0,3,0,0,0
1700018L02Rik,20,24,12,18,22,16
1700018M17Rik,0,0,0,0,0,1
1700019A23Rik,0,0,0,0,0,1
1700019D03Rik,4,0,6,0,4,8
1700019L13Rik,0,0,6,0,0,0
1700020A23Rik,4,3,0,7,5,5
1700020D05Rik,111,228,100,182,160,164
1700020G03Rik,0,0,14,0,3,0
1700020L24Rik,12,7,6,4,0,15
1700021A07Rik,9,17,0,2,20,3
1700021J08Rik,30,28,16,20,20,22
1700022I11Rik,95,87,85,80,101,82
1700022N22Rik,24,83,67,84,55,83
1700023B13Rik,94,70,96,84,65,111
1700023H06Rik,0,3,0,0,0,5
1700025G04Rik,2008,2263,2368,2202,2417,2407
1700026F02Rik,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0
1700026N04Rik,18,8,0,18,13,17
1700027A07Rik,0,0,0,0,0,0
1700028E10Rik,36,64,41,62,38,49
1700028I16Rik,0,12,6,8,8,4
1700028J19Rik,15,27,33,24,39,67
1700028K03Rik,76,0,0,0,3,4
1700028N14Rik,3,4,0,0,4,0
1700029H14Rik,0,0,0,3,0,0
1700029I15Rik,22,3,11,0,6,0
1700029J07Rik,52,53,18,49,39,45
1700030C10Rik,0,1,0,0,2,0
1700030C10Rik,0,0,0,0,4,0
1700030C12Rik,0,0,0,0,0,1
1700030J22Rik,12,41,12,36,27,20
1700030K09Rik,632,656,664,752,708,662
1700030M09Rik,0,0,0,0,0,2
1700030N03Rik,0,0,0,0,0,0
1700034H15Rik,8,16,23,26,11,31
1700034I23Rik,17,9,0,8,4,3
1700034J05Rik,6,0,3,0,6,0
1700034P13Rik,10,12,12,21,7,12
1700037C18Rik,146,159,152,117,101,164
1700037H04Rik,2176,2280,2264,2386,2302,2267
1700040D17Rik,28,35,0,35,45,60
1700040L08Rik,0,0,0,4,0,4
1700041C23Rik,0,0,4,0,0,6
1700041G16Rik,3,3,8,0,0,1
1700042O10Rik,8,0,0,0,0,0
1700047K16Rik,17,34,35,42,27,40
1700047M11Rik,0,0,0,4,0,4
1700048M11Rik,13,15,7,17,10,23
1700051K13Rik,0,0,0,0,1,0
1700052K11Rik,63,66,51,48,85,47
1700054A03Rik,0,0,0,0,5,0
1700054M17Rik,23,12,18,10,17,14
1700054O19Rik,12,8,4,2,8,0
1700055D18Rik,55,49,49,15,79,84
1700056E22Rik,5,0,13,17,17,0
1700056N10Rik,14,29,15,35,33,19
1700058P15Rik,28,33,34,55,39,33
1700060J05Rik,51,40,59,48,41,39
1700061A03Rik,0,0,0,0,0,2
1700063D05Rik,4,0,0,0,2,0
1700063J08Rik,0,0,0,0,2,0
1700064H15Rik,0,0,3,0,0,0
1700065D16Rik,10,8,12,20,10,10
1700066B19Rik,16,22,18,44,27,21
1700066M21Rik,590,680,717,702,757,747
1700067K01Rik,55,34,39,58,34,41
1700069B07Rik,0,0,2,4,2,0
1700071M16Rik,0,0,0,0,0,0
1700081N11Rik,5,5,0,6,0,0
1700082M22Rik,4,0,0,0,13,3
1700084C06Rik,7,0,0,2,0,0
1700084E18Rik,53,91,80,101,56,82
1700085D07Rik,0,0,0,3,0,0
1700086O06Rik,88,131,129,108,93,127
1700086P04Rik,87,52,69,89,55,90
1700087I21Rik,144,147,149,113,199,153
1700088E04Rik,12,42,33,37,39,15
1700092C10Rik,23,26,33,18,23,21
1700092C17Rik,9,6,17,9,10,8
1700092E16Rik,0,0,0,0,0,0
1700092M07Rik,10,25,46,22,17,13
1700093K21Rik,3,0,6,0,27,4
1700094D03Rik,47,84,37,61,93,63
1700094J05Rik,0,0,0,1,0,0
1700095J03Rik,0,0,0,0,0,0
1700096K18Rik,86,58,59,60,71,57
1700097M23Rik,4,0,0,0,0,4
1700097N02Rik,0,0,0,0,0,0
1700099I09Rik,33,23,20,47,41,27
1700101I11Rik,9,13,8,10,7,8
1700101I19Rik,0,2,0,0,0,0
1700102H20Rik,7,17,0,11,9,8
1700102P08Rik,6,8,5,0,17,6
1700104B16Rik,0,0,0,3,0,0
1700105P06Rik,22,16,16,15,26,14
1700108F19Rik,0,0,0,0,0,0
1700109G14Rik,3,7,3,13,13,7
1700109H08Rik,402,329,306,399,332,311
1700109K24Rik,19,6,13,23,19,11
1700110C19Rik,27,32,46,54,28,39
1700110K17Rik,0,0,15,4,2,12
1700113A16Rik,35,17,11,23,24,37
1700113B19Rik,0,2,0,0,0,0
1700119I11Rik,0,0,0,3,0,0
1700120B22Rik,0,0,0,0,6,0
1700120C14Rik,34,15,35,39,6,20
1700122E12Rik,21,12,23,15,21,7
1700123M08Rik,118,65,73,73,76,92
1700123O20Rik,1660,1720,1662,1858,1959,1753
1700124L16Rik,17,7,41,12,27,16
1700124M09Rik,1,0,0,0,0,0
1700125G22Rik,0,0,4,0,0,0
1700126G02Rik,7,11,22,5,11,13
1810006J02Rik,0,0,7,0,0,0
1810008B01Rik,1,0,0,0,0,0
